input,head,repeat,seed,outer_fold,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_specificity,best_params,dim
img_acceleration_effnet,svm_linear,0,42,0,0.625,0.6666666666666666,0.75,0.6,0.75,0.5,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,0,42,1,0.625,0.4,0.6875,1.0,0.25,1.0,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,0,42,2,0.7142857142857143,0.75,0.9166666666666666,0.6,1.0,0.5,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,0,42,3,0.8571428571428571,0.8571428571428571,0.9166666666666667,1.0,0.75,1.0,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,0,42,4,0.2857142857142857,0.2857142857142857,0.4166666666666667,0.3333333333333333,0.25,0.3333333333333333,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,0,42,5,0.7142857142857143,0.75,1.0,0.6,1.0,0.5,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,0,42,6,0.5714285714285714,0.5714285714285714,0.75,0.5,0.6666666666666666,0.5,"{""C"": 0.003}",1280
img_acceleration_effnet,svm_linear,0,42,7,0.42857142857142855,0.3333333333333333,0.7500000000000001,0.5,0.25,0.6666666666666666,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,0,42,8,0.7142857142857143,0.8,0.8333333333333334,0.6666666666666666,1.0,0.3333333333333333,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,0,42,9,0.5714285714285714,0.5714285714285714,0.75,0.5,0.6666666666666666,0.5,"{""C"": 0.003}",1280
img_acceleration_effnet,svm_linear,1,43,0,0.75,0.75,0.8125,0.75,0.75,0.75,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,1,43,1,0.42857142857142855,0.5,0.5,0.4,0.6666666666666666,0.25,"{""C"": 0.003}",1280
img_acceleration_effnet,svm_linear,1,43,2,0.75,0.6666666666666666,0.9375,1.0,0.5,1.0,"{""C"": 0.1}",1280
img_acceleration_effnet,svm_linear,1,43,3,0.2857142857142857,0.0,0.5,0.0,0.0,0.5,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,1,43,4,0.42857142857142855,0.3333333333333333,0.5833333333333334,0.5,0.25,0.6666666666666666,"{""C"": 0.1}",1280
img_acceleration_effnet,svm_linear,1,43,5,0.5714285714285714,0.5714285714285714,0.5833333333333333,0.6666666666666666,0.5,0.6666666666666666,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,1,43,6,1.0,1.0,1.0,1.0,1.0,1.0,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,1,43,7,0.42857142857142855,0.3333333333333333,0.5416666666666666,0.3333333333333333,0.3333333333333333,0.5,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,1,43,8,0.5714285714285714,0.4,0.75,0.5,0.3333333333333333,0.75,"{""C"": 0.1}",1280
img_acceleration_effnet,svm_linear,1,43,9,0.42857142857142855,0.5,0.33333333333333337,0.5,0.5,0.3333333333333333,"{""C"": 0.003}",1280
img_acceleration_effnet,svm_linear,2,44,0,0.5714285714285714,0.6666666666666666,0.5,0.6,0.75,0.3333333333333333,"{""C"": 0.003}",1280
img_acceleration_effnet,svm_linear,2,44,1,0.625,0.5714285714285714,0.5,0.6666666666666666,0.5,0.75,"{""C"": 0.1}",1280
img_acceleration_effnet,svm_linear,2,44,2,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,1.0,0.6666666666666666,"{""C"": 0.1}",1280
img_acceleration_effnet,svm_linear,2,44,3,0.625,0.6666666666666666,0.6875,0.6,0.75,0.5,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,2,44,4,0.5714285714285714,0.5714285714285714,0.8333333333333333,0.5,0.6666666666666666,0.5,"{""C"": 0.003}",1280
img_acceleration_effnet,svm_linear,2,44,5,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,"{""C"": 0.003}",1280
img_acceleration_effnet,svm_linear,2,44,6,0.7142857142857143,0.8,0.5833333333333334,0.6666666666666666,1.0,0.3333333333333333,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,2,44,7,0.7142857142857143,0.75,1.0,0.6,1.0,0.5,"{""C"": 0.01}",1280
img_acceleration_effnet,svm_linear,2,44,8,1.0,1.0,1.0,1.0,1.0,1.0,"{""C"": 0.003}",1280
img_acceleration_effnet,svm_linear,2,44,9,0.2857142857142857,0.0,0.3333333333333333,0.0,0.0,0.5,"{""C"": 0.003}",1280
